name,level,hp,atk,speed,size,exp_reward,special_abilities,habitat_levels
Goblin,1,80,12,1.0,1,10,"None","1-50"
Venom_Frog,2,100,15,1.0,1,12,"None","1-50"
Fire_Fiend,3,120,18,1.0,1,15,"Takes extra damage from ice-based magic","1-50"
Flaming_Giant,5,200,25,1.0,2,20,"Takes extra damage from ice-based magic","1-50"
Shadow_Bat,6,140,18,1.0,1,15,"Flying creature, immune to all debuffs","11-50"
Havoc_Goat,7,160,20,1.0,1,18,"None","11-50"
Bone_Imp,8,180,22,1.0,1,20,"Takes extra damage from light-based magic","11-50"
Clockwork_Phantom,8,170,20,1.0,1,20,"Takes extra damage from light-based magic","11-50"
Mech_Goblin,8,175,21,1.0,1,20,"Takes extra damage from dark-based magic","11-50"
Mech_Spider,8,165,19,1.0,1,20,"Takes extra damage from dark-based magic","11-50"
Evil_Goat,10,800,35,1.0,10,50,"Elite: immune to debuffs, takes extra damage from ice-based magic","multiples_of_5"
Flying_Dragon,10,900,40,1.0,10,60,"Elite: immune to debuffs","multiples_of_5"
Scrap_Crawler,10,750,38,1.0,10,55,"Elite: immune to debuffs","multiples_of_5"
Vampire,10,850,42,1.0,10,58,"Elite: immune to debuffs","multiples_of_5"
Grim_Reaper,12,320,28,1.0,2,25,"Increased movement speed, regenerates health below 50%","11-50"
Spitting_Bloom,12,300,30,1.0,2,30,"Ranged attacker with double attack range","multiples_of_4"
Creeping_Corpse,15,400,32,1.0,1.5,28,"Takes extra damage from physical attacks","30-50"
Dark_Fang,15,350,35,1.0,1.5,30,"Increased movement speed, takes extra damage from physical attacks","30-50"
Abyss_Warlord,20,5000,80,1.0,20,200,"Boss: massive health, immune to debuffs, reflects 20% damage","20,60,100"
Elemental_Titan,20,4500,75,1.0,20,200,"Boss: massive health, takes extra damage from fire-based magic, resists ice-based magic","40,80,100"
